kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,3,0.01,0.9,0.2629583477973938,58,0.9984956979751587,0.0015043538296595216,,
2,3,0.01,0.8,0.26619985699653625,58,0.998490571975708,0.0015093780821189284,,
2,3,0.01,0.75,0.2596767544746399,59,0.9979049563407898,0.0020949803292751312,,
2,3,0.01,0.7,0.27065742015838623,54,0.9976179599761963,0.0023820216301828623,,
2,3,0.01,0.6,0.2660186290740967,59,0.9988151788711548,0.001184786669909954,,
2,3,0.01,0.5,0.26601216197013855,47,0.997822105884552,0.002177929738536477,,
2,3,0.01,0.4,0.2627423107624054,59,0.9984599351882935,0.0015401014825329185,,
2,3,0.01,0.3,0.265911728143692,59,0.9948968887329102,0.0051031033508479595,,
2,3,0.01,0.2,0.26061785221099854,59,0.9967570900917053,0.003242837032303214,,
2,3,0.01,0.1,0.26579779386520386,59,0.9513779282569885,0.04862204194068909,,
2,3,0.01,0.05,0.2716135084629059,58,0.7295206785202026,0.27047932147979736,,
2,3,0.01,0.01,0.3023057281970978,49,0.5007835626602173,0.4992164075374603,,
3,3,0.0001,0.9,0.21194349229335785,58,0.3729305863380432,0.627069354057312,,
3,3,0.0001,0.8,0.21831880509853363,54,0.38409119844436646,0.6159088015556335,,
3,3,0.0001,0.75,0.20521201193332672,53,0.37575796246528625,0.6242420077323914,,
3,3,0.0001,0.7,0.2124040424823761,56,0.48291364312171936,0.517086386680603,,
3,3,0.0001,0.6,0.20976229012012482,22,0.4102509617805481,0.5897490382194519,,
3,3,0.0001,0.5,0.2902178466320038,39,0.48885276913642883,0.5111472010612488,,
3,3,0.0001,0.4,0.24041427671909332,48,0.5232446193695068,0.4767553210258484,,
3,3,0.0001,0.3,0.22754420340061188,43,0.47373825311660767,0.5262618064880371,,
3,3,0.0001,0.2,0.20934386551380157,33,0.4185381233692169,0.5814619064331055,,
3,3,0.0001,0.1,0.24404089152812958,59,0.285025030374527,0.7149749398231506,,
3,3,0.0001,0.05,0.514773964881897,39,0.004728025756776333,0.9952719807624817,,
3,3,0.0001,0.01,0.42097538709640503,59,0.009277352131903172,0.99072265625,,
2,4,1e-05,0.725,0.21623821556568146,22,0.4739587604999542,0.5260412096977234,,
2,4,1e-05,0.65,0.2271222621202469,22,0.46770772337913513,0.5322922468185425,,
2,4,1e-05,0.6,0.20880457758903503,23,0.3524880111217499,0.6475120186805725,,
2,4,1e-05,0.6,0.20964093506336212,22,0.3572947680950165,0.6427052021026611,,
2,4,1e-05,0.5,0.22139902412891388,24,0.39031514525413513,0.6096848249435425,,
2,4,1e-05,0.5,0.2254745364189148,17,0.5100093483924866,0.48999062180519104,,
2,4,1e-05,0.25,0.23919323086738586,24,0.5067822337150574,0.4932177662849426,,
2,4,1e-05,0.25,0.22692333161830902,13,0.5446290969848633,0.45537087321281433,,
2,4,1e-05,0.1,0.29611101746559143,19,0.24023756384849548,0.7597624063491821,,
2,4,1e-05,0.1,0.252814382314682,18,0.24469298124313354,0.7553070187568665,,
3,5,0.0001,0.75,0.2126360386610031,23,0.39372143149375916,0.6062785387039185,,
3,5,0.0001,0.75,0.22418251633644104,23,0.40781962871551514,0.5921803712844849,,
3,5,0.0001,0.5,0.2229418158531189,14,0.5793841481208801,0.42061588168144226,,
3,5,0.0001,0.5,0.22228984534740448,24,0.44912979006767273,0.5508702397346497,,
3,5,0.0001,0.25,0.2183072417974472,22,0.39928117394447327,0.6007187962532043,,
3,5,0.0001,0.25,0.21054404973983765,21,0.3889179527759552,0.6110820174217224,,
3,5,0.0001,0.1,0.24124468863010406,24,0.586654007434845,0.41334596276283264,,
3,5,0.0001,0.1,0.22081607580184937,16,0.7177433967590332,0.2822565734386444,,
4,3,0.01,0.75,0.2594044804573059,23,0.9970511794090271,0.0029488257132470608,,
4,3,0.01,0.75,0.25821131467819214,19,0.9990889430046082,0.0009110089158639312,,
4,3,0.01,0.5,0.2686261534690857,24,0.9959997534751892,0.004000225104391575,,
4,3,0.01,0.5,0.2686261534690857,24,0.9959997534751892,0.004000225104391575,,
